WBodyID,WaterBodyName,DataSource,StationID,StationName,Actual_StationID,Actual_Latitude,Actual_Longitude,DEP_WBID,SampleDate,ActivityDepth,DepthUnits,Parameter,Characteristic,Sample_Fraction,Result_Value,Result_Unit,QACode,Result_Comment,Original_Result_Value,Original_Result_Unit
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,06-01-2020 11:29,0.38,m,OP_mgl,"Phosphorus, phosphate (PO4) as P",Dissolved,0.002,mg/l,U,,0.002,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,06-01-2020 11:29,0.38,m,DO_mgl,Dissolved oxygen (DO),,6.11,mg/l,,,6.11,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,06-01-2020 11:29,0.38,m,pH,pH,,7.8,None,,,7.8,SU
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,06-01-2020 11:29,0.38,m,Cond_umhocm,Specific conductance,,463,umho,,,463,uS/cm
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,06-01-2020 11:29,0.38,m,TempW_C,"Temperature, water",,31.2,deg C,,,31.2,deg C
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,06-01-2020 11:29,0.38,m,TempW_F,"Temperature, water",,88.16,deg F,,,31.2,deg C
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,6/15/2020 11:30:00 AM,0.39,m,TN_ugl,Nitrogen,Total,1130,ug/l,,,1.13,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,6/15/2020 11:30:00 AM,0.39,m,NH3_N_ugl,"Nitrogen, ammonia as N",Dissolved,5,ug/l,U,,0.005,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,6/15/2020 11:30:00 AM,0.39,m,NOx_ugl,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",Dissolved,5,ug/l,U,,0.005,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,6/15/2020 11:30:00 AM,0.39,m,TP_ugl,Phosphorus as P,Total,55,ug/l,,,0.055,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,6/15/2020 11:30:00 AM,0.39,m,OP_mgl,"Phosphorus, phosphate (PO4) as P",Dissolved,0.002,mg/l,U,,0.002,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,6/15/2020 11:30:00 AM,0.39,m,DO_mgl,Dissolved oxygen (DO),,7.4,mg/l,,,7.4,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,6/15/2020 11:30:00 AM,0.39,m,pH,pH,,8.2,None,,,8.2,SU
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,6/15/2020 11:30:00 AM,0.39,m,Cond_umhocm,Specific conductance,,526,umho,,,526,uS/cm
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,6/15/2020 11:30:00 AM,0.39,m,TempW_C,"Temperature, water",,30.3,deg C,,,30.3,deg C
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,6/15/2020 11:30:00 AM,0.39,m,TempW_F,"Temperature, water",,86.54,deg F,,,30.3,deg C
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,6/29/2020 11:07:00 AM,0.33,m,TN_ugl,Nitrogen,Total,1090,ug/l,,,1.09,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,6/29/2020 11:07:00 AM,0.33,m,NH3_N_ugl,"Nitrogen, ammonia as N",Dissolved,25,ug/l,,,0.025,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,6/29/2020 11:07:00 AM,0.33,m,NOx_ugl,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",Dissolved,6,ug/l,I,,0.006,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,6/29/2020 11:07:00 AM,0.33,m,TP_ugl,Phosphorus as P,Total,39,ug/l,,,0.039,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,6/29/2020 11:07:00 AM,0.33,m,OP_mgl,"Phosphorus, phosphate (PO4) as P",Dissolved,0.002,mg/l,I,,0.002,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,6/29/2020 11:07:00 AM,0.33,m,DO_mgl,Dissolved oxygen (DO),,8.18,mg/l,,,8.18,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,6/29/2020 11:07:00 AM,0.33,m,pH,pH,,8.2,None,,,8.2,SU
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,6/29/2020 11:07:00 AM,0.33,m,Cond_umhocm,Specific conductance,,561,umho,,,561,uS/cm
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,6/29/2020 11:07:00 AM,0.33,m,TempW_C,"Temperature, water",,32,deg C,,,32,deg C
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,6/29/2020 11:07:00 AM,0.33,m,TempW_F,"Temperature, water",,89.6,deg F,,,32,deg C
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,7/13/2020 11:32:00 AM,0.41,m,TN_ugl,Nitrogen,Total,1240,ug/l,,,1.24,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,7/13/2020 11:32:00 AM,0.41,m,NH3_N_ugl,"Nitrogen, ammonia as N",Dissolved,20,ug/l,,,0.02,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,7/13/2020 11:32:00 AM,0.41,m,NOx_ugl,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",Dissolved,6,ug/l,I,,0.006,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,7/13/2020 11:32:00 AM,0.41,m,TP_ugl,Phosphorus as P,Total,68,ug/l,,,0.068,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,7/13/2020 11:32:00 AM,0.41,m,OP_mgl,"Phosphorus, phosphate (PO4) as P",Dissolved,0.004,mg/l,I,,0.004,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,7/13/2020 11:32:00 AM,0.41,m,DO_mgl,Dissolved oxygen (DO),,7.82,mg/l,,,7.82,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,7/13/2020 11:32:00 AM,0.41,m,pH,pH,,8.3,None,,,8.3,SU
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,7/13/2020 11:32:00 AM,0.41,m,Cond_umhocm,Specific conductance,,504,umho,,,504,uS/cm
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,7/13/2020 11:32:00 AM,0.41,m,TempW_C,"Temperature, water",,31,deg C,,,31,deg C
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,7/13/2020 11:32:00 AM,0.41,m,TempW_F,"Temperature, water",,87.8,deg F,,,31,deg C
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,7/27/2020 11:37:00 AM,0.4,m,TN_ugl,Nitrogen,Total,1090,ug/l,,,1.09,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,7/27/2020 11:37:00 AM,0.4,m,NH3_N_ugl,"Nitrogen, ammonia as N",Dissolved,10,ug/l,,,0.01,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,7/27/2020 11:37:00 AM,0.4,m,NOx_ugl,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",Dissolved,5,ug/l,U,,0.005,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,7/27/2020 11:37:00 AM,0.4,m,TP_ugl,Phosphorus as P,Total,76,ug/l,,,0.076,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,7/27/2020 11:37:00 AM,0.4,m,OP_mgl,"Phosphorus, phosphate (PO4) as P",Dissolved,0.002,mg/l,I,,0.002,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,7/27/2020 11:37:00 AM,0.4,m,DO_mgl,Dissolved oxygen (DO),,8.99,mg/l,,,8.99,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,7/27/2020 11:37:00 AM,0.4,m,pH,pH,,8.3,None,,,8.3,SU
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,7/27/2020 11:37:00 AM,0.4,m,Cond_umhocm,Specific conductance,,463,umho,,,463,uS/cm
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,7/27/2020 11:37:00 AM,0.4,m,TempW_C,"Temperature, water",,30.9,deg C,,,30.9,deg C
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,7/27/2020 11:37:00 AM,0.4,m,TempW_F,"Temperature, water",,87.62,deg F,,,30.9,deg C
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,08-10-2020 11:16,0.42,m,TN_ugl,Nitrogen,Total,771,ug/l,,,0.771,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,08-10-2020 11:16,0.42,m,NH3_N_ugl,"Nitrogen, ammonia as N",Dissolved,7,ug/l,I,,0.007,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,08-10-2020 11:16,0.42,m,NOx_ugl,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",Dissolved,5,ug/l,U,,0.005,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,08-10-2020 11:16,0.42,m,TP_ugl,Phosphorus as P,Total,62,ug/l,,,0.062,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,08-10-2020 11:16,0.42,m,OP_mgl,"Phosphorus, phosphate (PO4) as P",Dissolved,0.003,mg/l,IG,"Analyte was detected at or above the method detection limit in both the sample and the associated field blank, equipment blank, or trip blank, and the blank value was greater than 10% of the associated sample value",0.003,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,08-10-2020 11:16,0.42,m,DO_mgl,Dissolved oxygen (DO),,7.1,mg/l,,,7.1,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,08-10-2020 11:16,0.42,m,pH,pH,,7.8,None,,,7.8,SU
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,08-10-2020 11:16,0.42,m,Cond_umhocm,Specific conductance,,462,umho,,,462,uS/cm
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,08-10-2020 11:16,0.42,m,TempW_C,"Temperature, water",,30.4,deg C,,,30.4,deg C
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,08-10-2020 11:16,0.42,m,TempW_F,"Temperature, water",,86.72,deg F,,,30.4,deg C
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,8/24/2020 11:36:00 AM,0.48,m,TN_ugl,Nitrogen,Total,1100,ug/l,,,1.1,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,8/24/2020 11:36:00 AM,0.48,m,NH3_N_ugl,"Nitrogen, ammonia as N",Dissolved,59,ug/l,,,0.059,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,8/24/2020 11:36:00 AM,0.48,m,NOx_ugl,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",Dissolved,48,ug/l,,,0.048,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,8/24/2020 11:36:00 AM,0.48,m,TP_ugl,Phosphorus as P,Total,133,ug/l,,,0.133,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,8/24/2020 11:36:00 AM,0.48,m,OP_mgl,"Phosphorus, phosphate (PO4) as P",Dissolved,0.074,mg/l,,,0.074,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,8/24/2020 11:36:00 AM,0.48,m,DO_mgl,Dissolved oxygen (DO),,6.37,mg/l,,,6.37,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,8/24/2020 11:36:00 AM,0.48,m,pH,pH,,7.5,None,,,7.5,SU
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,8/24/2020 11:36:00 AM,0.48,m,Cond_umhocm,Specific conductance,,524,umho,,,524,uS/cm
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,8/24/2020 11:36:00 AM,0.48,m,TempW_C,"Temperature, water",,29.3,deg C,,,29.3,deg C
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,8/24/2020 11:36:00 AM,0.48,m,TempW_F,"Temperature, water",,84.74,deg F,,,29.3,deg C
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,09-08-2020 11:29,0.5,m,TN_ugl,Nitrogen,Total,1060,ug/l,,,1.06,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,09-08-2020 11:29,0.5,m,NH3_N_ugl,"Nitrogen, ammonia as N",Dissolved,49,ug/l,,,0.049,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,09-08-2020 11:29,0.5,m,NOx_ugl,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",Dissolved,26,ug/l,,,0.026,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,09-08-2020 11:29,0.5,m,TP_ugl,Phosphorus as P,Total,99,ug/l,,,0.099,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,09-08-2020 11:29,0.5,m,OP_mgl,"Phosphorus, phosphate (PO4) as P",Dissolved,0.044,mg/l,,,0.044,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,09-08-2020 11:29,0.5,m,DO_mgl,Dissolved oxygen (DO),,6.73,mg/l,,,6.73,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,09-08-2020 11:29,0.5,m,pH,pH,,7.8,None,,,7.8,SU
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,09-08-2020 11:29,0.5,m,Cond_umhocm,Specific conductance,,669,umho,,,669,uS/cm
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,09-08-2020 11:29,0.5,m,TempW_C,"Temperature, water",,29.7,deg C,,,29.7,deg C
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,09-08-2020 11:29,0.5,m,TempW_F,"Temperature, water",,85.46,deg F,,,29.7,deg C
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,9/21/2020 11:43:00 AM,0.5,m,TN_ugl,Nitrogen,Total,1470,ug/l,,,1.47,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,9/21/2020 11:43:00 AM,0.5,m,NH3_N_ugl,"Nitrogen, ammonia as N",Dissolved,148,ug/l,,,0.148,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,9/21/2020 11:43:00 AM,0.5,m,NOx_ugl,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",Dissolved,87,ug/l,,,0.087,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,9/21/2020 11:43:00 AM,0.5,m,TP_ugl,Phosphorus as P,Total,264,ug/l,,,0.264,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,9/21/2020 11:43:00 AM,0.5,m,OP_mgl,"Phosphorus, phosphate (PO4) as P",Dissolved,0.2,mg/l,,,0.2,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,9/21/2020 11:43:00 AM,0.5,m,DO_mgl,Dissolved oxygen (DO),,5.89,mg/l,,,5.89,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,9/21/2020 11:43:00 AM,0.5,m,pH,pH,,7.5,None,,,7.5,SU
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,9/21/2020 11:43:00 AM,0.5,m,Cond_umhocm,Specific conductance,,438,umho,,,438,uS/cm
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,9/21/2020 11:43:00 AM,0.5,m,TempW_C,"Temperature, water",,28.8,deg C,,,28.8,deg C
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,9/21/2020 11:43:00 AM,0.5,m,TempW_F,"Temperature, water",,83.84,deg F,,,28.8,deg C
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,10-05-2020 11:22,0.5,m,TN_ugl,Nitrogen,Total,1310,ug/l,,,1.31,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,10-05-2020 11:22,0.5,m,NH3_N_ugl,"Nitrogen, ammonia as N",Dissolved,128,ug/l,,,0.128,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,10-05-2020 11:22,0.5,m,NOx_ugl,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",Dissolved,112,ug/l,,,0.112,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,10-05-2020 11:22,0.5,m,TP_ugl,Phosphorus as P,Total,180,ug/l,,,0.18,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,10-05-2020 11:22,0.5,m,OP_mgl,"Phosphorus, phosphate (PO4) as P",Dissolved,0.132,mg/l,,,0.132,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,10-05-2020 11:22,0.5,m,DO_mgl,Dissolved oxygen (DO),,6.78,mg/l,,,6.78,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,10-05-2020 11:22,0.5,m,pH,pH,,7.4,None,,,7.4,SU
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,10-05-2020 11:22,0.5,m,Cond_umhocm,Specific conductance,,497,umho,,,497,uS/cm
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,10-05-2020 11:22,0.5,m,TempW_C,"Temperature, water",,26.2,deg C,,,26.2,deg C
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,10-05-2020 11:22,0.5,m,TempW_F,"Temperature, water",,79.16,deg F,,,26.2,deg C
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,10/19/2020 12:16:00 PM,0.5,m,TN_ugl,Nitrogen,Total,1200,ug/l,,,1.2,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,10/19/2020 12:16:00 PM,0.5,m,NH3_N_ugl,"Nitrogen, ammonia as N",Dissolved,40,ug/l,,,0.04,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,10/19/2020 12:16:00 PM,0.5,m,NOx_ugl,"Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N",Dissolved,107,ug/l,,,0.107,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,10/19/2020 12:16:00 PM,0.5,m,TP_ugl,Phosphorus as P,Total,104,ug/l,,,0.104,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,10/19/2020 12:16:00 PM,0.5,m,OP_mgl,"Phosphorus, phosphate (PO4) as P",Dissolved,0.05,mg/l,,,0.05,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,10/19/2020 12:16:00 PM,0.5,m,DO_mgl,Dissolved oxygen (DO),,7.56,mg/l,,,7.56,mg/L
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,10/19/2020 12:16:00 PM,0.5,m,pH,pH,,7.8,None,,,7.8,SU
2003889,Okaloacoochee Branch,WIN_21FLSFWM,32275, CRFW09,32275,26.7629,-81.4001,3235O,10/19/2020 12:16:00 PM,0.5,m,Cond_umhocm,Specific conductance,,627,umho,,,627,uS/cm
